ZH-CN.txt
26
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
saa	M	1231	13214	23124	23124	0
